,E13VBetn02p06r1,E13VBetn02p06r2,E13VBetn02p06r3,E13VBetn02p06r4
2013,23.017,30.081,14.682,20.87
2014,23.627,28.032,24.585,25.751
2015,48.831,38.181,58.909,45.976
2016,30.732,37.947,33.757,22.706
2017,56.008,33.632,81.816,72.308
2018,173.899,185.042,125.647,159.36
2019,141.735,135.029,134.726,145.082
2020,36.612,36.612,42.75,33.44
