,E13VBetn02p03r1,E13VBetn02p03r2,E13VBetn02p03r3,E13VBetn02p03r4
2014,58.034,39.294,48.662,30.067
2015,35.44,44.181,48.166,40
2016,38.21,54.332,56.321,44
2017,51.923,50.596,70.114,44.045
2018,293.626,302.952,288.062,248.129
2019,179.611,128.655,112,147.105
2020,28.071,24.739,32,42.048
