,E13DBetn03v03r1,E13DBetn03v03r2,E13DBetn03v03r3,E13DBetn03v03r4
2006,33.834,40.992,123.826,39.424
2007,79.446,92.618,69.806,57.971
2008,200.901,217.237,194.224,182.033
2009,207.262,192.202,214.806,221.697
2010,151.725,130.981,154.957,171.113
2011,57.535,45.83,49.275,84.258
2012,28.986,21.102,40.992,43.09
2013,56.28,27.345,43.575,45.369
2014,49.361,54.149,40.992,42.129
2015,79.96,63.57,76.249,46.67
2016,108.802,83.052,136.232,129.27
2017,39.425,54.996,79.115,105.03
2018,231.685,198.672,316.274,274.92
2019,204.651,205.613,241.695,138.936
2020,199.074,193.646,194.743,133.459
