,E13DBetn03s07r1,E13DBetn03s07r2,E13DBetn03s07r3,E13DBetn03s07r4
2011,120.888,107.248,143.667,122.106
2012,230.804,253.958,182.609,252.329
2013,250.829,265.787,272.391,369.963
2014,318.893,332.504,345.692,402.087
2015,102.909,97.199,130.636,163.768
2016,101.491,78.596,113.201,167.427
2017,31.884,62.739,118.743,96.673
2018,102.909,111.679,96.352,113.795
2019,114.575,81.366,74.172,118.374
2020,41.222,23.189,2.174,4.931
