,E13VBetn02t03r1,E13VBetn02t03r2,E13VBetn02t03r3,E13VBetn02t03r4
2013,84.838,175.032,78.019,133.579
2014,475.977,302.504,479.162,434.097
2015,136.209,105.82,193.249,172.302
2016,135.971,140.297,197.387,173.043
2017,129.126,188.318,214.373,178.752
2018,349.612,288.275,407.063,373.701
2019,172.179,178.502,229.515,178.925
2020,111.909,192.166,242.118,196.813
