,E13DBetn01s08r1,E13DBetn01s08r2,E13DBetn01s08r3,E13DBetn01s08r4
2004,79.366,181.913,100.311,109.246
2005,95.063,56.065,91.026,84.414
2006,79.723,36.901,79.355,88.827
2007,97.85,76.784,106.282,89.265
2008,242.38,137.182,239.491,221.806
2009,254.9,169.991,273.389,261.686
2010,218.116,115.413,225.858,240.233
2011,236.926,136.348,163.422,278.738
2012,89.554,71.545,82.625,83.159
2013,29.71,18.51,73.571,92.494
2014,50.631,18.51,12.512,31.526
2015,103.816,54.738,87.162,105.839
2016,33.834,37.642,58.856,13.537
2017,8.816,6.612,7.086,13.169
2018,47.057,41.394,60.414,61.93
2019,75.932,40.764,120.128,79.409
2020,117.583,95.11,201.087,58.562
