,E13ABetn03t01r1,E13ABetn03t01r2,E13ABetn03t01r3,E13ABetn03t01r4
2005,80.407,112.099,64.086,88.85
2006,113.096,94.195,125.528,115.525
2007,106.527,116.836,142.408,118.079
2008,160.34,161.112,203.246,149.61
2009,86.855,82.566,87.924,71.252
2010,132.969,125.472,112.355,104.85
2011,121.749,109.992,95.874,91.233
2012,160.506,148.504,135.974,173.181
2013,83.469,73.921,117.883,84.23
2014,100.847,94.221,118.214,116.472
2015,80.699,71.525,74.176,67.225
2016,99.009,116.917,132.546,108.614
2017,99.062,118.598,145.075,115.775
2018,54.521,75.698,59.585,47.454
2019,90.538,66.411,64.571,69.777
2020,87.065,84.587,73.287,78.456
