year,e13c1r0201,e13c1r0202,e13c1r0203,e13c1r0204
2007,270.872,288.611,291.201,193.488
2008,152.827,170.636,121.664,97.709
2009,39.298,52.904,34.723,3.695
2010,58.162,15.942,38.679,4.348
2011,67.392,99.792,84.657,62.76
2012,97.126,134.388,106.926,89.28
2013,83.227,116.674,91.901,46.196
2014,41.1,10.171,26.469,8.967
2015,36.996,48.094,57.419,70.113
2016,50.332,38.406,82.668,63.33
2017,21.204,31.569,40.891,28.825
2018,78.285,19.596,130.891,208.338
2019,16.73,2.989,23.122,4.997
2020,1.812,2.988,8.079,1.288
