year,e13c1r0301,e13c1r0302,e13c1r0303,e13c1r0304
2008,12.721,11.662,10.758,11.852
2009,21.063,17.938,20.067,20.058
2010,14.24,14.476,17.033,17.172
2011,12.148,14.119,16.142,8.013
2012,8.642,9.472,11.393,10.735
2013,5.428,9.113,10.822,8.648
2014,8.974,7.065,9.89,10.125
2015,9.131,9.786,9.563,9.313
2016,8.416,7.772,7.274,6.292
2017,4.573,2.185,3.123,2.755
2018,4.08,6.467,3.768,2.102
2019,3.155,4.058,2.088,2.536
2020,5.038,10.521,11.132,5.232
