,E13VBetn01p02r1,E13VBetn01p02r2,E13VBetn01p02r3,E13VBetn01p02r4
2010,39.561,44.911,34.761,37.813
2011,30.689,14.684,28.077,33.853
2012,27.267,32.613,27.498,42.101
2013,64.299,82.13,120.286,96.94
2014,26.681,31.597,32.897,30.318
2015,17.927,4.921,19.595,21.5
2016,21.077,35.874,65.871,55.424
2017,51.055,82.324,172.018,109.629
2018,12.265,41.856,120.232,72.643
2019,2.001,2.538,36.132,8.079
2020,2.997,2.893,31.564,19.084
