,E13CBetn03t01r1,E13CBetn03t01r2,E13CBetn03t01r3,E13CBetn03t01r4
2017,70.675,105.803,86.831,84.876
2018,371.647,325.065,358.223,353.637
2019,165.292,158.711,152.643,171.815
2020,179.614,133.249,156.959,200.218
