"","section","category","corr_full","corr_old","corr_rec"
"299","E13VBetn02s02","above_ground",0.674725274725275,0.674725274725275,NA
"300","E13VBetn02s03","above_ground",0.575757575757576,0.575757575757576,NA
"301","E13VBetn02s04","above_ground",0.6,0.6,NA
"302","E13VBetn02s05","above_ground",1,1,NA
"303","E13VBetn02s06","above_ground",1,NA,1
"304","E13VBetn02t01","above_ground",0.563636363636364,0.563636363636364,NA
"305","E13VBetn02t02","above_ground",0.833333333333333,0.833333333333333,NA
"306","E13VBetn02t03","above_ground",0.857142857142857,0.857142857142857,NA
"307","E13VBetn02t04","above_ground",0.678571428571428,0.678571428571428,NA
"308","E13VBetn02t05","above_ground",0.357142857142857,0.357142857142857,NA
"309","E13VBetn02t06","above_ground",0.542857142857143,0.542857142857143,NA
"310","E13VBetn02u01","above_ground",0.734265734265734,0.734265734265734,NA
"311","E13VBetn02u02","above_ground",0.0166666666666667,0.0166666666666667,NA
"312","E13VBetn02u03","above_ground",0.821428571428571,0.821428571428571,NA
"313","E13VBetn02u04","above_ground",0.7,0.7,NA
"314","E13VBetn02u05","above_ground",1,NA,1
"315","E13VBetn02u06","above_ground",1,NA,1
"316","E13VBetn02u07","above_ground",1,NA,1
"317","E13VBetn02u08","above_ground",NA,NA,NA
"318","E13VBetn02v01","above_ground",0.619047619047619,0.619047619047619,NA
"319","E13VBetn02v02","above_ground",0.904761904761905,0.904761904761905,NA
"320","E13VBetn02v03","above_ground",0.5,NA,0.5
"321","E13VBetn02v04","above_ground",1,NA,1
"322","E13VBetn03o01","below_ground",0.032967032967033,0.032967032967033,NA
"323","E13VBetn03o02","below_ground",0.126373626373626,0.126373626373626,NA
"324","E13VBetn03o03","below_ground",0.335664335664336,0.335664335664336,NA
"325","E13VBetn03o04","below_ground",0.0909090909090909,0.0909090909090909,NA
"326","E13VBetn03p01","below_ground",0.866666666666667,0.866666666666667,NA
"327","E13VBetn03p02","below_ground",0.785714285714286,0.785714285714286,NA
"328","E13VBetn03p03","below_ground",0.892857142857143,0.892857142857143,NA
"329","E13VBetn03p04","below_ground",0.485714285714286,0.485714285714286,NA
"330","E13VBetn03p05","below_ground",0.771428571428571,0.771428571428571,NA
"331","E13VBetn03p06","below_ground",0.771428571428571,0.771428571428571,NA
"332","E13VBetn03p07","below_ground",1,1,NA
"333","E13VBetn03p08","below_ground",0.8,0.8,NA
"334","E13VBetn03p09","below_ground",0.8,0.8,NA
"335","E13VBetn03p10","below_ground",1,1,NA
"336","E13VBetn03q01","below_ground",0.9,0.9,NA
"337","E13VBetn03q02","below_ground",0.9,0.9,NA
"338","E13VBetn03q03","below_ground",1,1,NA
"339","E13VBetn03q04","below_ground",1,NA,1
"340","E13VBetn03q05","below_ground",1,NA,1
"341","E13VBetn03q06","below_ground",1,NA,1
"342","E13VBetn03q07","below_ground",1,NA,1
"343","E13VBetn03q08","below_ground",0.5,NA,0.5
"344","E13VBetn03r01","below_ground",0.825,0.825,NA
"345","E13VBetn03r02","below_ground",0.296428571428571,0.296428571428571,NA
"346","E13VBetn03r03","below_ground",0.971428571428571,0.971428571428571,NA
"347","E13VBetn03r04","below_ground",0.971428571428571,0.971428571428571,NA
