,E13DBetn03u05r1,E13DBetn03u05r2,E13DBetn03u05r3,E13DBetn03u05r4
2016,111.143,167.385,84.355,102.179
2017,77.936,79.169,101.559,93.535
2018,310.649,239.288,245.347,259.275
2019,319.075,207.253,235.992,304.676
2020,220.743,217.663,189.443,203.307
