,E13DBetn03u04r1,E13DBetn03u04r2,E13DBetn03u04r3,E13DBetn03u04r4
2014,70.114,34.769,48.074,68.56
2015,52.498,58.241,59.21,40.089
2016,104.173,104.545,96.148,75.425
2017,146.014,152.023,176.726,149.927
2018,248.681,307.084,286.341,183.188
2019,361.931,400.222,416.29,344.093
2020,224.919,245.941,275.326,265.089
