,E13DBetn03u03r1,E13DBetn03u03r2,E13DBetn03u03r3,E13DBetn03u03r4
2013,111.83,114.26,135.817,233.267
2014,278.473,301.324,266.198,154.371
2015,161.562,151.087,133.395,112.041
2016,119.807,107.609,89.031,98.937
2017,141.572,112.088,111.258,151.278
2018,242.011,310.963,241.111,247.979
2019,341.514,409.796,293.8,321.746
2020,186.969,234.906,215.933,226.09
