,E13VBetn03r02r1,E13VBetn03r02r2,E13VBetn03r02r3,E13VBetn03r02r4
2004,63.069,69.751,63.484,75.063
2005,106.248,90.618,118.782,106.882
2006,97.974,73.425,80.473,126.092
2007,135.776,130.744,167.611,144.71
2008,251.609,219.751,278.674,177.84
2009,164.183,132.368,192.649,282.313
2010,107.814,82.154,108.25,200.94
2011,80.146,82.571,65.836,108.257
2012,10.276,54.332,12.163,86.003
2013,30.776,37.334,9.806,20.078
2014,11.82,23.752,40.43,40.749
2015,45.264,48.65,135.109,56.297
2016,13.477,12.772,39.223,19.612
2017,78.446,72.206,61.659,122.233
2018,159.222,121.626,254.893,328.131
2019,27.616,28.668,77.307,111.903
2020,105.128,60.024,188.461,173.344
