,E13VBetn01u04r1,E13VBetn01u04r2,E13VBetn01u04r3,E13VBetn01u04r4
2017,96.886,90.1,82.49,130.16
2018,314.383,304.048,336.958,269.164
2019,341.193,373.298,330.558,290.036
2020,136.713,152.905,175.539,122.614
