,E13VBetn01q03r1,E13VBetn01q03r2,E13VBetn01q03r3,E13VBetn01q03r4
2012,48.604,39.121,50.693,36.876
2013,46.507,58.423,64.029,65.367
2014,110.262,109.939,94.727,105.898
2015,67.789,77.06,83.673,53.532
2016,35.796,28.137,21.138,19.587
2017,18.608,0,0,24.262
2018,20.636,0,11.383,51.75
2019,0,0,0,13.269
2020,0,0,0,0
