,E13VBetn01q04r1,E13VBetn01q04r2,E13VBetn01q04r3,E13VBetn01q04r4
2016,56.053,71.827,61.309,76.525
2017,83.372,87.83,97.895,111.651
2018,44.423,70.363,90.511,48.781
2019,19.587,35.895,27.962,13.896
2020,0,32.008,47.088,0
