,E13VBetn01q02r1,E13VBetn01q02r2,E13VBetn01q02r3,E13VBetn01q02r4
2011,36.093,36.309,62.705,71.514
2012,73.243,74.876,34.485,43.438
2013,113.201,94.095,107.365,73.173
2014,100.515,78.118,77.095,122.341
2015,73.76,73.225,40.439,37.595
2016,34.223,29.132,0,14.556
2017,27.436,37.57,0,38.784
2018,62.041,53.681,37.958,31.184
2019,17.833,25.63,0,0
2020,0,0,0,0
