,E13DBetn01r12r1,E13DBetn01r12r2,E13DBetn01r12r3,E13DBetn01r12r4
2001,58.383,92.391,132.236,77.243
2002,64.681,87.835,123.932,77.449
2003,0,0,49.281,0
2004,0,0,87.942,59.098
2005,0,107.828,59.585,75.97
2006,0,17.425,21.312,0
2007,42.059,66.509,54.848,44.681
2008,0,19.595,30.062,25.024
2009,0,77.662,68.385,57.619
2010,0,13.445,71.73,25.584
2011,0,93.655,70.942,59.871
2012,0,64.278,99.948,82.866
2013,0,57.125,75.907,71.185
2014,0,73.609,90.582,82.93
2015,65.66,119.452,118.843,101.151
2016,140.516,141.726,143.546,128.215
2017,0,67.654,0,62.564
2018,0,68.098,0,71.706
2019,0,63.193,44.942,46.689
2020,0,0,0,0
