,E13DBetn01r07r1,E13DBetn01r07r2,E13DBetn01r07r3,E13DBetn01r07r4
2001,155.378,95.039,57.471,15.904
2002,78.359,0,0,0
2003,56.522,54.324,54.324,0
2004,69.845,0,0,0
2005,83.837,0,31.149,44.274
2006,53.305,0,0,0
2007,87.802,79.974,65.527,41.034
2008,33.005,0,0,0
2009,129.585,78.449,76.032,25.821
2010,165.746,92.373,91.972,57.84
2011,165.881,38.29,101.576,39.191
2012,188.708,42.16,69.626,25.919
2013,286.582,55.194,97.671,0
2014,94.54,0,0,0
2015,82.157,0,0,0
2016,90.688,0,0,0
2017,0,0,0,0
2018,0,60.13,21.863,0
2019,16.627,10.067,0,0
2020,46.473,0,0,0
