,E13ABetn01r09r1,E13ABetn01r09r2,E13ABetn01r09r3,E13ABetn01r09r4
2001,0,67.814,78.242,29.159
2002,30.41,18.015,61.003,46.404
2003,0,21.19,70.875,27.299
2004,0,61.396,104.362,90.663
2005,59.554,24.483,71.103,40.601
2006,0,0,14.171,0
2007,0,0,102.625,0
2008,0,0,123.588,0
2009,0,0,25.548,0
2010,15.022,0,30.545,0
2011,0,51.39,58.335,19.606
2012,0,0,32.021,0
2013,7.403,0,38.16,0
2014,0,60.129,49.318,46.598
2015,0,38.181,32.927,0
2016,0,54.001,60.323,0
2017,0,0,44.35,0
2018,12.846,48.81,39.871,0
2019,33.66,30.972,13.04,33.359
2020,37.173,7.29,15.519,7.469
