,E13ABetn01r05r1,E13ABetn01r05r2,E13ABetn01r05r3,E13ABetn01r05r4
2001,54.236,73.514,65.325,10.136
2002,32.564,7.494,16.391,0
2003,48.504,24.847,16.415,44.58
2004,0,0,18.919,0
2005,0,9.826,50.072,28.752
2006,0,17.425,27.316,25.893
2007,37.24,49.014,84.066,47.389
2008,43.305,71.394,54.756,65.769
2009,0,0,17.037,19.663
2010,0,0,14.311,0
2011,67.357,0,33.524,27.505
2012,0,0,28.633,0
2013,66.669,56.477,26.573,22.836
2014,0,0,0,0
2015,0,0,0,0
2016,16.115,31.745,62.045,13.597
2017,0,0,0,0
2018,21.437,0,10.831,0
2019,23.283,0,8.494,0
2020,22.056,25.49,22.853,0
