,E13ABetn01r08r1,E13ABetn01r08r2,E13ABetn01r08r3,E13ABetn01r08r4
2001,31.001,18.641,23.061,0
2002,81.264,136.353,89.755,46.856
2003,0,0,0,0
2004,40.56,79.291,17.208,49.787
2005,62,0,7.536,47.354
2006,36.852,0,0,0
2007,80.302,14.978,41.885,44.181
2008,34.681,0,0,0
2009,45.326,0,22.044,0
2010,31.835,33.063,49.028,33.447
2011,69.342,15.414,74.14,34.517
2012,0,0,21.657,0
2013,108.729,0,133.117,51.69
2014,102.969,54.041,91.805,60.817
2015,34.922,0,0,0
2016,72.559,0,0,0
2017,88.579,36.188,14.914,0
2018,39.706,0,0,0
2019,12.577,0,0,0
2020,46.049,0,22.153,32.835
