,E13ABetn01r03r1,E13ABetn01r03r2,E13ABetn01r03r3,E13ABetn01r03r4
2000,67.855,29.649,46.541,8.475
2001,23.274,0,0,2.397
2002,61.841,43.56,0,1.895
2003,0,0,0,0
2004,54.907,38.808,0,57.577
2005,55.471,74.287,60.407,46.986
2006,45.212,82.273,26.65,50.351
2007,38.455,44.043,0,0
2008,122.222,81.796,17.695,61.187
2009,113.312,88.821,43.287,86.942
2010,21.536,0,0,47.797
2011,11.299,0,0,26.475
2012,33.846,58.136,0,83.903
2013,60.031,64.763,43.626,56.342
2014,46.76,68.455,34.839,50.344
2015,16.693,10.786,0,0
2016,28.412,39.322,0,0
2017,33.448,53.497,0,32.712
2018,48.657,50.029,42.878,47.344
2019,19.059,0,13.977,38.136
2020,55.798,0,0,57.308
