,E13ABetn01r02r1,E13ABetn01r02r2,E13ABetn01r02r3,E13ABetn01r02r4
2001,12.655,13.362,0,0
2002,69.844,18.841,0,0
2003,42.066,58.336,38.869,0
2004,63.855,43.248,28.332,0
2005,26.127,0,0,0
2006,90.08,82.089,0,0
2007,80.183,112.655,58.138,0
2008,0,0,0,0
2009,26.968,15.372,0,0
2010,0,0,0,0
2011,28.298,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,37.709,0,59.388,0
2015,71.831,0,0,0
2016,0,0,0,0
2017,84.108,0,43.833,76.563
2018,44.98,0,12.792,48.925
2019,26.337,0,37.437,41.816
2020,40.638,0,26.008,31.522
