,E13ABetn01r06r1,E13ABetn01r06r2,E13ABetn01r06r3,E13ABetn01r06r4
2001,49.916,27.967,11.802,0
2002,78.435,0,55.596,0
2003,58.422,0,13.484,0
2004,115.808,23.212,24.81,0
2005,15.235,0,0,0
2006,0,0,0,0
2007,44.699,60.254,74.056,0
2008,35.121,62.345,0,0
2009,56.154,40.775,0,0
2010,38.083,26.719,0,0
2011,101.978,95.188,0,0
2012,124.659,86.824,0,24.35
2013,55.943,6.303,57.913,0
2014,0,0,0,40.819
2015,90.327,37.041,37.796,51.656
2016,0,0,0,131.05
2017,71.372,19.799,0,0
2018,92.595,0,0,66.857
2019,60.636,0,0,37.211
2020,26.447,0,0,39.867
