,E13ABetn01s06r1,E13ABetn01s06r2,E13ABetn01s06r3,E13ABetn01s06r4
2001,69.353,116.312,111.546,128.963
2002,97.455,96.464,78.528,83.563
2003,195.218,170.803,170.975,183.352
2004,203.645,188.14,176.145,178.397
2005,85.226,90.957,81.84,78.074
2006,177.825,167.506,138.706,147.424
2007,49.5,48.167,46.236,56.863
2008,148.632,103.738,81.929,104.651
2009,33.388,37.612,12.119,22.58
2010,82.418,69.962,83.012,63.354
2011,42.473,58.054,41.043,19.515
2012,26.659,36.42,13.325,24.224
2013,128.234,81.853,76.27,77.162
2014,118.74,78.752,73.585,91.662
2015,79.068,69.809,67.982,71.657
2016,33.388,54.422,57.113,66.649
2017,73.095,57.604,51.398,58.2
2018,0,0,0,0
2019,0,20.463,19.371,0
2020,8.102,19.413,27.284,0
