,E13ABetn01s02r1,E13ABetn01s02r2,E13ABetn01s02r3,E13ABetn01s02r4
2001,0,58.251,13.737,45.77
2002,26.783,26.388,5.203,26.815
2003,49.11,11.299,11.634,0
2004,25.293,40.44,15.074,16.801
2005,54.839,64.836,0,75.37
2006,83.126,84.757,36.323,71.568
2007,11.567,0,0,0
2008,0,40.829,12.749,0
2009,0,0,0,0
2010,46.897,66.02,41.453,30.617
2011,48.534,45.326,0,0
2012,0,0,0,17.849
2013,0,0,0,0
2014,0,0,16.52,0
2015,0,0,0,0
2016,36.427,39.772,85.628,20.218
2017,71.574,59.534,63.999,0
2018,57.611,0,30.187,24.2
2019,34.3,31.977,49.287,0
2020,39.254,0,12.667,23.136
