,E13ABetn01s01r1,E13ABetn01s01r2,E13ABetn01s01r3,E13ABetn01s01r4
2001,192.083,179.92,61.62,107.679
2002,60.766,24.418,27.949,0
2003,63.708,17.959,0,0
2004,40.233,42.33,17.892,0
2005,52.998,0,0,0
2006,29.729,54.799,50.614,10.645
2007,37.386,0,19.646,8.608
2008,0,67.495,45.617,33.403
2009,27.717,18.26,0,0
2010,58.653,75.417,44.39,0
2011,26.593,58.771,0,0
2012,0,13.368,0,0
2013,0,10.438,0,0
2014,46.27,70.062,51.722,0
2015,0,61.169,48.95,0
2016,44.288,41.988,0,0
2017,0,28.51,0,0
2018,0,34.193,0,0
2019,0,15.518,12.545,0
2020,0,27.22,11.156,0
