,E13DBetn02s08r1,E13DBetn02s08r2,E13DBetn02s08r3,E13DBetn02s08r4
2015,152.548,81.044,100.288,89.42
2016,116.669,137.954,117.318,111.385
2017,233.979,258.362,245.691,239.912
2018,329.694,342.679,336.799,315.264
2019,248.428,347.257,268.689,278.238
2020,305.761,359.38,272.106,310.147
