,E13DBetn02s02r1,E13DBetn02s02r2,E13DBetn02s02r3,E13DBetn02s02r4
2003,127.165,168.464,141.958,130.723
2004,196.695,105.923,155.41,189.146
2005,202.362,147.534,202.155,233.992
2006,221.334,228.219,272.952,242.765
2007,139.197,158.58,238.03,196.259
2008,160.683,267.222,271.747,240.723
2009,268.984,253.123,258.667,259.084
2010,241.508,256.165,285.478,247.847
2011,340.321,350.206,366.489,292.85
2012,196.538,221.301,225.209,253.222
2013,272.337,339.903,275.754,311.393
2014,186.753,389.879,254.326,239.905
2015,12.482,75.546,61.524,24.754
2016,40.55,223.005,179.344,76.083
2017,150.96,485.747,280.39,222.171
2018,332.978,698.021,348.911,317.34
2019,265.415,481.258,288.444,316.095
2020,225.657,279.013,208.91,314.639
