,E13DBetn02s04r1,E13DBetn02s04r2,E13DBetn02s04r3,E13DBetn02s04r4
2009,143.689,99.485,113.267,127.793
2010,290.565,270.631,282.361,322.418
2011,119.135,144.51,118.947,115.264
2012,96.843,79.446,117.689,109.831
2013,76.875,64.624,84.718,90.008
2014,117.98,99.747,129.512,161.186
2015,0,0,0,0
2016,191.641,165.043,143.568,183.725
2017,297.876,272.083,282.867,338.155
2018,316.088,302.564,286.569,284.926
2019,233.521,210.535,253.312,242.242
2020,0,0,0,0
