,E13ABetn02v01r1,E13ABetn02v01r2,E13ABetn02v01r3,E13ABetn02v01r4
2001,0,195.011,209.545,0
2002,0,118.355,137.496,0
2003,0,145.534,105.748,36.933
2004,0,92.287,85.753,35.607
2005,96.602,181.75,179.835,95.743
2006,77.256,125.993,141.666,113.503
2007,0,76.009,102.83,75.784
2008,0,47.407,80.55,71.51
2009,0,107.251,140.701,94.135
2010,0,81.397,107.058,0
2011,47.216,57.484,71.029,38.837
2012,0,59.899,78.623,55.62
2013,60.574,33.732,75.353,73.43
2014,31.058,51.803,76.676,92.487
2015,0,38.208,43.504,37.053
2016,0,0,0,0
2017,78.425,99.92,109.968,88.027
2018,0,30.388,53.575,14.906
2019,31.426,34.04,81.206,75.49
2020,0,0,0,0
