,E13VBetn03r03r1,E13VBetn03r03r2,E13VBetn03r03r3,E13VBetn03r03r4
2005,505.396,55.392,196.28,76.92
2006,197.118,538.413,503.318,510.926
2007,173.467,196.029,188.043,203.914
2008,33.766,202.728,115.402,135.978
2009,34.8,90.746,112.041,115.632
2010,5.085,30.916,22.475,47.054
2011,7.035,23.938,27.689,30.744
2012,42.614,37.02,57.187,108.396
2013,110.126,112.528,146.53,178.261
2014,157.744,125.05,97.032,154.566
2015,8.696,5.187,35.053,28.219
2016,115.299,59.308,26.132,80.17
2017,165.575,161.957,109.416,156.597
2018,549.262,539.201,328.802,623.922
2019,294.766,241.199,186.754,304.29
2020,326.234,233.037,218.8,253.932
