,E13VBetn03o01r1,E13VBetn03o01r2,E13VBetn03o01r3,E13VBetn03o01r4
2007,59.534,59.92,62.844,66.178
2008,79.921,111.559,94.603,54.502
2009,94.666,153.932,137.162,68.842
2010,66.389,139.411,107.915,61.423
2011,80.693,175.551,159.401,64.343
2012,57.773,171.961,184.579,53.92
2013,0,73.633,60.149,0
2014,0,62.042,111.276,4.974
2015,0,0,125.226,0
2016,0,66.313,101.172,7.677
2017,0,117.437,134.22,0
2018,72.149,266.892,338.53,131.745
2019,0,180.661,126.054,38.919
2020,0,133.452,167.343,0
