,E13ABetn01r05r1,E13ABetn01r05r2,E13ABetn01r05r3,E13ABetn01r05r4
2001,15.159,20.182,26.26,15.023
2002,54.236,73.514,65.325,10.136
2003,32.564,7.494,16.391,1.996
2004,48.504,24.847,16.415,44.58
2005,5.139,8.713,18.919,3.788
2006,4.931,9.826,50.072,28.752
2007,3.571,17.425,27.316,25.893
2008,0,0,0,0
2009,0,0,0,0
2010,0,0,0,0
2011,12.501,5.431,14.311,3.788
2012,67.357,4.177,33.524,27.505
2013,6.07,4.356,28.633,2.545
2014,66.669,56.477,26.573,22.836
2015,6.548,4.706,4.927,2.91
2016,17.946,4.989,3.971,1.92
2017,28.578,30.974,68.11,15.917
2018,21.437,5.284,10.831,2.633
2019,23.283,3.88,8.494,2.683
2020,22.056,25.49,22.853,2.56
