,E13ABetn01r02r1,E13ABetn01r02r2,E13ABetn01r02r3,E13ABetn01r02r4
2001,12.655,13.362,3.588,0.408
2002,69.844,18.841,3.95,0.476
2003,42.066,58.336,38.869,0.476
2004,63.855,43.248,28.332,0.476
2005,26.127,11.594,4.669,0.476
2006,90.08,82.089,3.695,0.476
2007,80.183,112.655,58.138,0.476
2008,3.695,5.124,2.027,0.476
2009,26.968,15.372,1.764,0.476
2010,5.797,9.004,2.243,0.476
2011,28.298,0.408,2.386,0.548
2012,5.519,0.408,2.258,0.548
2013,5.124,0.408,2.812,0.548
2014,37.709,0.408,59.388,0.548
2015,71.831,0.408,17.16,0.548
2016,26.127,0.408,17.366,0.815
2017,84.108,0.408,43.833,76.563
2018,44.98,0.408,12.792,48.925
2019,26.337,0.34,37.437,41.816
2020,40.638,0.346,26.008,31.522
