,E13ABetn02s02r1,E13ABetn02s02r2,E13ABetn02s02r3,E13ABetn02s02r4
2000,0,88.089,49.132,99.337
2001,0,87.616,43.506,101.714
2002,30.336,162.669,132.194,201.836
2003,0,98.294,58.692,124.947
2004,0,132.446,0,183.076
2005,0,70.67,42.222,137.939
2006,0,34.581,0,50.345
2007,0,205.311,75.455,230.997
2008,0,116.708,7.576,91.872
2009,0,57.237,0,0
2010,0,118.485,17.451,83.418
2011,0,17.112,6.494,29.14
2012,0,68.797,4.329,76.005
2013,0,26.176,6.494,26.154
2014,0,51.279,4.524,6.845
2015,0,123.893,0,56.282
2016,0,110.919,4.164,9.341
2017,0,23.136,0,10.659
2018,0,59.769,23.81,75.089
2019,0,0,0,0
2020,0,13.69,0,0
