,E13ABetn02s05r1,E13ABetn02s05r2,E13ABetn02s05r3,E13ABetn02s05r4
2001,120.008,275.991,71.444,136.127
2002,0,135.297,57.289,62.152
2003,0,43.314,7.507,7.653
2004,32.755,139.518,105.962,59.681
2005,0,13.709,5.506,6.494
2006,0,33.91,3.061,5.518
2007,0,90.675,0,67.082
2008,0,12.455,3.902,11.037
2009,0,36.104,6.133,24.2
2010,98.002,153.478,43.002,134.865
2011,0,125.02,6.806,155.502
2012,0,100.607,6.122,73.792
2013,0,42.734,5.704,22.753
2014,23.668,91.86,19.723,74.957
2015,0,15.152,2.31,63.226
2016,0,92.039,8.808,79.189
2017,0,6.533,3.885,45.455
2018,0,71.236,2.165,34.649
2019,16.484,96.747,10.823,68.729
2020,0,29.582,3.625,3.247
