,E13ABetn02s08r1,E13ABetn02s08r2,E13ABetn02s08r3,E13ABetn02s08r4
2001,0,4.112,55.797,52.039
2002,0,4.348,361.524,235.837
2003,0,2.174,156.707,66.434
2004,0,4.348,73.985,12.82
2005,40.237,42.366,177.736,134.168
2006,0,0,80.903,22.929
2007,0,0,108.891,59.227
2008,0,0,32.681,16.159
2009,0,0,59.941,89.519
2010,0,0,134.967,108.884
2011,0,0,151.559,144.631
2012,0,0,104.438,66.171
2013,0,0,45.975,13.92
2014,0,0,75.463,139.135
2015,0,0,10.924,71.31
2016,0,0,49.022,90.746
2017,0,0,23.938,35.003
2018,0,0,47.838,37.401
2019,0,0,39.13,8.489
2020,0,0,43.6,78.637
