,E13ABetn02s00r1,E13ABetn02s00r2,E13ABetn02s00r3,E13ABetn02s00r4
2001,206.37,50.511,134.093,38.968
2002,42.704,0,25.692,0
2003,220.909,97.619,215.801,126.282
2004,143.74,24.499,110.738,52.713
2005,192.984,0,103.266,77.956
2006,123.13,0,93.531,36.973
2007,192.984,104.319,181.089,127.218
2008,172.347,103.899,181.275,120.568
2009,108.7,0,106.051,45.196
2010,77.455,0,70.523,26.074
2011,147.556,26.782,149.645,100
2012,96.999,23.1,78.259,0
2013,98.965,25.252,69.102,44.803
2014,89.245,0,61.763,50.055
2015,45.014,60.098,21.991,62.3
2016,60.953,36.789,38.246,102.28
2017,54.501,0,0,45.501
2018,21.263,50.659,49.511,93.161
2019,114.79,0,0,29.931
2020,57.308,26.423,46.948,34.224
