,E13ABetn03v04r1,E13ABetn03v04r2,E13ABetn03v04r3,E13ABetn03v04r4
2008,115.525,79.756,79.415,120.789
2009,173.735,185.599,187.764,148.126
2010,162.48,155.871,150.476,128.985
2011,218.121,207.193,248.814,227.91
2012,129.572,133.53,157.426,147.744
2013,133.901,147.776,166.862,143.991
2014,120.275,113.978,104.981,131.085
2015,117.829,107.871,105.575,139.613
2016,111.532,86.29,86.117,113.102
2017,0,0,0,55.039
2018,0,19.686,102.266,62.104
2019,94.972,33.071,87.126,63.982
2020,0,0,0,0
