,E13ABetn03v02r1,E13ABetn03v02r2,E13ABetn03v02r3,E13ABetn03v02r4
2006,73.628,58.322,83.679,80.373
2007,194.994,184.743,174.86,183.951
2008,202.702,197.847,200.38,213.163
2009,186.402,219.566,213.444,183.058
2010,122.858,123.048,143.694,146.82
2011,195.121,175.084,169.961,185.281
2012,169.373,148.409,169.004,171.042
2013,156.349,158.576,165.6,147.103
2014,116.032,115.147,120.893,109.859
2015,128.263,103.925,153.29,148.537
2016,123.695,135.636,152.498,100.492
2017,0,0,0,0
2018,94.353,107.593,76.486,71.994
2019,30.433,71.074,61.938,10.702
2020,0,28.261,75.592,0
