,E13ABetn03t02r1,E13ABetn03t02r2,E13ABetn03t02r3,E13ABetn03t02r4
2007,78.579,77.812,74.951,96.088
2008,186.232,193.892,210.644,206.195
2009,95.104,93.231,98.428,117.033
2010,129.874,134.94,122.883,156.08
2011,110.316,100.724,91.068,112.34
2012,166.843,172.465,174.788,161.713
2013,118.238,122.472,119.567,130.471
2014,109.756,109.538,99.655,109.861
2015,97.072,78.596,65.946,93.658
2016,117.851,110.68,103.785,122.704
2017,113.574,101.099,120.623,124.108
2018,41.816,54.425,113,101.309
2019,73.489,66.006,92.669,107.591
2020,0,0,0,0
