,E13ABetn03t04r1,E13ABetn03t04r2,E13ABetn03t04r3,E13ABetn03t04r4
2008,132.777,85.321,92.768,78.058
2009,74.041,92.695,108.831,83.065
2010,119.911,144.631,137.508,174.71
2011,230.099,208.29,206.808,234.787
2012,73.801,88.552,79.971,65.362
2013,86.855,93.769,83.328,97.49
2014,72.264,57.65,71.591,65.475
2015,121.525,105.323,112.041,132.012
2016,103.038,130.67,130.235,118.949
2017,61.564,53.305,47.192,64.101
2018,99.295,77.632,93.579,92.855
2019,152.189,132.421,124.051,136.763
2020,89.706,97.977,89.507,113.424
