,E13DBetn01v04r1,E13DBetn01v04r2,E13DBetn01v04r3,E13DBetn01v04r4
2001,66.307,60.887,68.148,88.359
2002,204.448,139.251,168.76,146.779
2003,181.802,205.257,139.947,151.413
2004,123.671,78.261,96.322,114.706
2005,325.68,276.395,211.002,258.647
2006,238.311,254.553,149.316,174.427
2007,127.866,103.329,67.559,87.045
2008,150.35,129.912,136.986,124.001
2009,248.776,224.755,193.169,209.311
2010,89.542,248.729,113.653,5.72
2011,82.841,119.585,83.01,8.224
2012,99.895,37.134,48.494,64.799
2013,12.006,13.768,48.689,4.132
2014,27.196,10.924,14.356,6.159
2015,127.819,26.814,46.116,71.886
2016,108.469,44.209,43.917,113.522
2017,17.694,4.348,31.461,10.656
2018,62.187,4.348,47.141,53.452
2019,114.177,4.348,18.475,114.732
2020,186.527,5.072,14.384,228.769
