,E13VBetn03q02r1,E13VBetn03q02r2,E13VBetn03q02r3,E13VBetn03q02r4
2015,42.374,51.45,38.758,41.074
2016,67.515,67.475,40.814,53.632
2017,162.672,159.611,83.958,122.347
2018,282.733,240.448,157.638,242.864
2019,188.544,118.406,86.513,135.463
2020,98.748,58.727,62.025,60.059
