,E13VBetn02o03r1,E13VBetn02o03r2,E13VBetn02o03r3,E13VBetn02o03r4
2015,8.478,12.196,10.19,13.535
2016,7.751,10.647,15.503,9.097
2017,17.521,26.572,30.49,19.43
2018,107.82,111.129,67.555,86.303
2019,61.461,52.702,37.926,46.218
2020,57.928,61.483,50.595,56.184
