"scientificName","decimalLongitude","decimalLatitude","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","references"
"Betula nana L.",5.388,59.848,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",10.251,63.42,NA,"PRESENT",25,"nbf",NA
"Betula nana L.",25.031,70.101,NA,"PRESENT",8,"nbf",NA
"Betula nana L.",25.178,70.08,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",25.242,70.113,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",25.245,70.114,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",8.031,63.355,NA,"PRESENT",300,"nbf",NA
"Betula nana L.",8.088,63.099,NA,"PRESENT",5,"nbf",NA
"Betula nana L.",24.92,70.113,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",25.246,70.114,NA,"PRESENT",8,"nbf",NA
"Betula nana L.",7.624,63.101,NA,"PRESENT",10,"nbf",NA
"Betula nana L.",25.294,70.179,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",26.585,70.65,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",25.287,70.182,NA,"PRESENT",3,"nbf",NA
"Betula nana L.",4.733,60.766,NA,"PRESENT",100,"nbf",NA
"Betula nana L.",6.125,59.041,NA,"PRESENT",5,"nbf",NA
"Betula nana L.",6.127,59.039,NA,"PRESENT",5,"nbf",NA
"Betula nana L.",27.438,68.436,NA,"PRESENT",54,"iNaturalist","https://www.inaturalist.org/observations/165143209"
"Betula nana L.",14.895,59.358,NA,"PRESENT",302,"iNaturalist","https://www.inaturalist.org/observations/165167232"
"Betula nana L.",12.812,60.318,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/165312053"
"Betula nana L.",-16.91,65.591,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/165536151"
"Betula nana L.",-17.545,65.684,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/165536550"
"Betula nana L.",56.845,61.808,NA,"PRESENT",15,"iNaturalist","https://www.inaturalist.org/observations/165942365"
"Betula nana L.",66.043,57.362,NA,"PRESENT",10,"iNaturalist","https://www.inaturalist.org/observations/166046922"
"Betula nana L.",24.8,60.998,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/166056772"
"Betula nana L.",27.431,68.387,NA,"PRESENT",2599,"iNaturalist","https://www.inaturalist.org/observations/166208693"
"Betula nana L.",27.237,61.816,NA,"PRESENT",13,"iNaturalist","https://www.inaturalist.org/observations/166217164"
"Betula nana L.",27.236,61.815,NA,"PRESENT",10,"iNaturalist","https://www.inaturalist.org/observations/166218973"
"Betula nana L.",27.217,67.006,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/166633055"
"Betula nana L.",27.211,67.002,NA,"PRESENT",8,"iNaturalist","https://www.inaturalist.org/observations/166643630"
"Betula nana L.",24.697,68.492,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/166868233"
"Betula nana L.",24.805,60.989,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/166938224"
"Betula nana L.",-150.552,60.517,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/166963780"
"Betula nana L.",74.558,63.078,NA,"PRESENT",9,"iNaturalist","https://www.inaturalist.org/observations/167158145"
"Betula nana L.",27.695,66.795,NA,"PRESENT",7,"iNaturalist","https://www.inaturalist.org/observations/167333087"
"Betula nana L.",26.708,60.572,NA,"PRESENT",3,"iNaturalist","https://www.inaturalist.org/observations/167336735"
"Betula nana L.",19.986,69.245,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/167498626"
"Betula nana L.",22.569,63.614,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/167858813"
"Betula nana L.",-17.092,65.623,NA,"PRESENT",4424,"iNaturalist","https://www.inaturalist.org/observations/167892827"
"Betula nana L.",10.465,63.394,NA,"PRESENT",10,"iNaturalist","https://www.inaturalist.org/observations/167898194"
"Betula nana L.",73.466,61.258,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/167904886"
"Betula nana L.",73.466,61.257,NA,"PRESENT",NA,"iNaturalist","https://www.inaturalist.org/observations/167904894"
"Betula nana L.",13.575,49.04,NA,"PRESENT",4,"iNaturalist","https://www.inaturalist.org/observations/168139641"
