,E13VBetn01s04r1,E13VBetn01s04r2,E13VBetn01s04r3,E13VBetn01s04r4
2002,76.509,108.056,158.406,81.085
2003,172.672,185.857,132.769,216.656
2004,191.23,184.939,138.381,182.754
2005,207.37,181.525,163.712,123.765
2006,229.852,267.658,201.521,218.748
2007,174.035,198.961,143.363,125.923
2008,113.049,104.625,123.445,119.318
2009,112.383,186.969,136.667,149.234
2010,175.014,121.817,118.319,124.432
2011,8.763,19.595,7.838,11.348
2012,76.281,58.109,55.007,67.785
2013,6.522,23.236,17.827,8.763
2014,93.307,111.782,85.047,26.647
2015,136.919,227.247,131.607,83.321
2016,2.473,76.752,41.604,19.261
2017,2.078,120.789,95.862,99.152
2018,1.654,498.059,461.854,431.403
2019,1.44,281.194,241.874,410.026
2020,2.857,120.353,81.297,174.027
