,E13VBetn01s03r1,E13VBetn01s03r2,E13VBetn01s03r3,E13VBetn01s03r4
2004,103.568,78.544,97.275,77.528
2005,324.757,368.818,330.029,342.143
2006,167.126,179.805,186.381,195.115
2007,68.898,103.175,142.362,106.035
2008,199.158,221.71,273.138,254.616
2009,121.472,156.763,281.385,213.536
2010,105,82.673,244.872,209.825
2011,94.57,85.566,238.18,191.008
2012,120.917,115.693,283.621,138.957
2013,31.859,55.578,77.988,82.964
2014,2.988,5.377,2.473,86.144
2015,80.235,5.225,1.715,186.732
2016,98.774,82.78,41.736,139.801
2017,89.11,34.681,6.875,60.939
2018,390.512,296.165,148.881,293.456
2019,210.145,262.281,70.527,132.678
2020,51.79,56.396,20.042,57.48
