,E13VBetn01s02r1,E13VBetn01s02r2,E13VBetn01s02r3,E13VBetn01s02r4
2005,102.23,40.525,81.472,58.404
2006,61.895,83.33,73.458,79.871
2007,162.264,203.403,204.963,198.25
2008,159.373,218.003,242,186.254
2009,116.59,150.662,160.948,126.182
2010,87.637,109.788,94.829,87.583
2011,201.838,215.919,265.801,213.143
2012,88.913,86.957,112.238,73.949
2013,36.559,64.14,97.67,26.138
2014,15.892,62.502,102.175,25.301
2015,1.433,30.227,50.686,2.038
2016,1.021,1.307,37.02,2.479
2017,0.954,1.365,69.618,2.326
2018,0.886,1.433,198.221,21.739
2019,14.742,2.191,89.68,4.348
2020,0.911,44.629,69.336,52.219
