,E13DBetn02p01r1,E13DBetn02p01r2,E13DBetn02p01r3,E13DBetn02p01r4
2004,22.857,31.805,34.348,30.73
2005,18.43,14.142,36.964,16.43
2006,40.236,40.675,37.44,24.193
2007,41.158,53.127,52.345,51.954
2008,30.951,30.925,33.162,24.675
2009,88.609,66.316,66.574,70.61
2010,42.47,55.741,39.084,21.62
2011,51.478,67.523,72.841,47.756
2012,80.313,132.622,144.998,112.593
2013,83.577,87.255,108.36,88.651
2014,77.216,112.26,156.68,91.398
2015,38.963,51.676,112.251,75.898
2016,0,0,18.445,0
2017,61.564,7.536,83.253,89.968
2018,68.007,15.846,102.932,125.591
2019,76.663,33.869,86.349,112.592
2020,15.345,19.499,72.234,85.4
