,E13VBetn02q05r1,E13VBetn02q05r2,E13VBetn02q05r3,E13VBetn02q05r4
2018,44.296,45.902,21.099,33.444
2019,70.042,73.106,75.203,72.843
2020,181.662,153.075,162.757,190.961
