,E13VBetn02q02r1,E13VBetn02q02r2,E13VBetn02q02r3,E13VBetn02q02r4
2018,54.865,51.294,44.791,44
2019,181.73,156.024,133.415,173.703
2020,189.344,186.672,208.705,276.02
