,E13VBetn03s05r1,E13VBetn03s05r2,E13VBetn03s05r3,E13VBetn03s05r4
1,120.138,116.125,104.882,100.49
2,129.622,113.466,105.524,118.931
3,146.711,176.1,189.208,210.087
4,85.711,90.276,87.201,123.052
5,112.986,138.197,93.787,114.559
6,177.174,182.714,158.967,190.673
7,25.212,48.07,49.87,53.692
8,96.739,106.01,110.234,99.769
9,226.129,155.378,133.018,149.388
10,505.902,537.934,370.462,474.892
11,215.242,280.767,183.048,265.938
12,303.119,394.366,330.785,286.711
