,E13VBetn02v02r1,E13VBetn02v02r2,E13VBetn02v02r3,E13VBetn02v02r4
2012,57.883,98.048,57.79,127.539
2013,89.319,68.508,104.955,76.211
2014,112.132,120.995,121.093,74.726
2015,5.085,4.71,17.757,4.363
2016,68.444,76.617,58.523,7.979
2017,68.627,96.388,56.28,42.852
2018,214.338,259.491,278.406,221.916
2019,82.78,105.879,142.312,107.871
2020,99.476,163.859,141.875,143.224
