,E13ABetn03v01r1,E13ABetn03v01r2,E13ABetn03v01r3,E13ABetn03v01r4
2007,85.919,92.914,112.728,112.774
2008,320.105,310,333.311,292.722
2009,192.762,222.399,208.285,177.954
2010,191.858,196.58,211.397,177.665
2011,119.233,130.485,139.147,123.003
2012,173.384,128.557,161.469,175.074
2013,155.257,130.161,160.618,160.814
2014,151.304,174.902,114.603,136.108
2015,125.041,121.605,113.424,130.949
2016,114.795,105.886,130.068,154.593
2017,125.772,119.679,127.272,147.776
2018,119.477,83.632,92.04,94.972
2019,45.074,61.658,25.684,34.858
2020,35.882,56.097,6.287,16.203
