,E13CBetn01t04r1,E13CBetn01t04r2,E13CBetn01t04r3,E13CBetn01t04r4
2013,89.273,146.809,109.783,169.84
2014,183.539,151.851,188.407,153.146
2015,186.976,134.324,176.267,175.362
2016,0,0,0,0
2017,145.767,79.792,136.609,157.528
2018,78.425,107.249,60.215,91.307
2019,84.086,140.335,62.588,32.745
2020,55.077,48.176,31.917,0
