,E13CBetn01t05r1,E13CBetn01t05r2,E13CBetn01t05r3,E13CBetn01t05r4
2017,131.856,110.641,101.522,62.008
2018,283.49,239.13,244.499,235.997
2019,164.622,152.389,166.372,212.319
2020,109.43,136.465,121.138,110.204
