,E13CBetn01t02r1,E13CBetn01t02r2,E13CBetn01t02r3,E13CBetn01t02r4
2012,121.504,78.442,167.373,109.588
2013,116.048,111.604,73.016,115.09
2014,340.811,341.236,240.117,334.537
2015,136.44,139.78,91.079,166.787
2016,174.47,144.648,101.18,151.559
2017,165.611,114.132,103.261,176.329
2018,78.331,84.246,85.954,59.398
2019,59.904,78.291,48.446,63.731
2020,13.63,36.961,16.895,0
