,E13CBetn01t01r1,E13CBetn01t01r2,E13CBetn01t01r3,E13CBetn01t01r4
2011,143.742,97.719,157.906,78.596
2012,103.265,139.321,76.431,170.512
2013,97.32,107.251,66.808,117.011
2014,280.645,319.476,214.469,344.002
2015,162.842,132.004,109.016,185.066
2016,0,0,0,0
2017,191.909,193.905,150.091,211.71
2018,94.914,111.794,99.832,117.064
2019,54.018,80.549,45.352,120.547
2020,22.475,37.211,0,0
